,property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price,property_price_currency,property_price_amount
2712,2 bedroom apartment for sale in Kileleshwa,"Nyeri-Road, Opposite Holy Trinity Catholic Church, Kileleshwa, Dagoretti North",1603 ft²,2,4,"&#39;The Marquis&#39; 2 Bedroom, 2 Ensuite",Hayer One Group,"KSh 20,438,250",KSh,20438250.0
2713,4 bedroom house for sale in Loresho,"Westlands, Loresho, Westlands",-,4,4,4 BEDROOMS MASSIONATES AT LORESHO,Vuli Homes Ltd,"KSh 105,000,000",KSh,105000000.0
2714,2 bedroom apartment for sale in Kilimani,"Kirichwa road, Kilimani, Dagoretti North",-,2,-,2 and 3 bedroom apartments in Kilimani,Daresak Investments,"KSh 16,000,000",KSh,16000000.0
2715,2 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",100 m²,2,2,"NEW 1, 2 and 3 BEDROOM EXECUTIVE APARTMENT FOR...",Splendor Holdings,"KSh 8,500,000",KSh,8500000.0
2716,5 bedroom townhouse for sale in Lavington,"Walk to Lavington Mall, Lavington, Dagoretti North",-,5,6,A stylish and brand new 5 bedroom all en suite...,Yellow Market,"KSh 80,000,000",KSh,80000000.0
2717,4 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",220 m²,4,4,"NEW 4 BEDROOM EXECUTIVE APARTMENT FOR SALE, IN...",Splendor Holdings,"KSh 20,000,000",KSh,20000000.0
2718,5 bedroom house for sale in Lavington,"Riara Road, Lavington, Dagoretti North",400 m²,5,6,spacious 5 Bedrooms all ensuite Town Houses Fo...,Kenya Classic Homes,"KSh 41,000,000",KSh,41000000.0
2719,"3 ac commercial land for sale in Mombasa Road
 ","Maasai Road, Mombasa Road, Mombasa Road",3 ac,-,-,Commercial Property for sale on Maasai Road,Cura International,"KSh 375,000,000",KSh,375000000.0
2720,5 bedroom townhouse for sale in Runda,"Runda, Westlands",-,5,5,6 Bedrooms Townhouse for sale in Runda,THE GRAND RAVIX LIMITED,"KSh 150,000,000",KSh,150000000.0
2721,2 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,2,2,2 Bedroom Apartment For Sale in Kilimani,Ring Kenya Ltd,"KSh 7,500,000",KSh,7500000.0
2722,2 bedroom apartment for sale in Kileleshwa,"Siaya Road, Kileleshwa, Dagoretti North",-,2,2,2 Bedroom All En-suite Apartment For Sale in Ki...,Simkar Group Limited,"KSh 16,000,000",KSh,16000000.0
2723,3 bedroom apartment for sale in Kileleshwa,"KILELESHWA, KILELESHWA, Kileleshwa, Dagoretti North",126 m²,3,3,3 BEDROOM FOR SALE,Round The Clock Homes,"KSh 10,500,000",KSh,10500000.0
2724,3 bedroom apartment for sale in Parklands,"2nd parkland, Parklands, Westlands",-,3,4,khalif apartments - 3 bedroom apartment for sal...,Crystal Valuers LTD,"KSh 15,000,000",KSh,15000000.0
2725,Residential land for sale in Thome,"Thome, Roysambu",-,-,-,1/4 Acre Residential Plot at Thome Estate,Afrique Properties Limited,"KSh 15,000,000",KSh,15000000.0
2726,4 bedroom apartment for sale in Riverside,"Riverside, Westlands",-,4,5,NEWLY BUILT Duplex apartment with 4 bedrooms fo...,Ge-Mac Property Solutions,"KSh 54,000,000",KSh,54000000.0
2727,5 bedroom house for sale in Runda,"45, Runda panafric, Runda, Westlands",-,5,6,Runda estate,-,"KSh 120,000,000",KSh,120000000.0
2728,3 bedroom apartment for sale in Ngong Road,"Ngong Road, Ngong Road",113 m²,3,-,Cozy 3 Bedroom,VAAL Real Estate,"KSh 11,670,000",KSh,11670000.0
2729,5 bedroom townhouse for sale in Spring Valley,"Peponi Road, Spring Valley, Westlands",-,5,5,5 Bedroom Townhouse for Sale in Spring Valley,Dayfield Agencies,"KSh 69,000,000",KSh,69000000.0
2730,5 bedroom townhouse for sale in Runda,"Runda, Westlands",450 m²,5,5,"5 BEDROOM TOWNHOUSE + DSQ FOR SALE IN RUNDA, (...",Splendor Holdings,"KSh 70,000,000",KSh,70000000.0
2731,4 bedroom house for sale in Karen,"Ngong road, Karen, Langata",-,4,4,FOUR BEDROOM PLUS DSQ for sale keraphon,Pemukika Agency,"KSh 38,000,000",KSh,38000000.0
2732,4 bedroom townhouse for sale in Brookside,"Brookside, Westlands",-,4,-,4 Bedroom House For Sale,Origin Homes,"KSh 65,000,000",KSh,65000000.0
2733,5 bedroom house for sale in Thika Road,"Exit 13, Kimbo, Thika Road, Thika Road",-,5,6,EAGLE ESTATE,Shila Homes,"KSh 6,500,000",KSh,6500000.0
2734,2 bedroom apartment for sale in Kileleshwa,"KILELESHWA, KILELESHWA, Kileleshwa, Dagoretti North",100 m²,2,2,MODERN AND AFFORDABLE 2 BEDROOM FOR SALE.,Round The Clock Homes,"KSh 6,990,000",KSh,6990000.0
2735,2 bedroom apartment for sale in Westlands Area,"Nairobi, Westlands Area, Westlands",-,2,-,Special Offers On 2 & 3 Bedroom Apartments On P...,Coral Property International Ltd,"KSh 14,000,000",KSh,14000000.0
2736,5 bedroom house for sale in Runda,"Runda, Westlands",-,5,-,PIECE OF HEAVEN,Twinrocks Property Managers,"KSh 160,000,000",KSh,160000000.0
2737,3 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",207 m²,3,3,EXECUTIVE 3BEDROOM WITH SQ APARTMENT FOR SALE I...,Prelax Properties,"KSh 19,000,000",KSh,19000000.0
2738,2 bedroom apartment for sale in Upper Hill,"Upper Hill, Langata",102 m²,2,2,1 and 2 Bedroom Apartments for sale in Upperhil...,THE GRAND RAVIX LIMITED,"KSh 13,600,000",KSh,13600000.0
2739,3 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,3,3,3 bedroom Apartment for sale in Kilimani.,Ring Kenya Ltd,"KSh 23,000,000",KSh,23000000.0
2740,5 bedroom house for sale in North Muthaiga,"North Muthaiga, Muthaiga",-,5,5,5 Bedroom Mansion at Muthaiga North,Afrique Properties Limited,"KSh 120,000,000",KSh,120000000.0
2741,2 bedroom apartment for sale in Kilimani,"Kindaruma, Kilimani, Dagoretti North",100 m²,2,2,Spacious 2 bedrooms apartment for sale in Kilim...,Abode Realty,"KSh 8,500,000",KSh,8500000.0
